[11:41:24.55] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[11:41:25.41] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[11:41:25.42] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[11:41:27.41] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[11:41:29.52] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[11:41:29.53] [IntForce] <LOG> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[11:41:29.56] [ComponentService] <INFO> 正在注册： vb-cascader-city.vue文件 (ComponentService.plugin.js:249)
[11:41:29.57] [ComponentService] <INFO> 正在注册： vb-form-activity.vue文件 (ComponentService.plugin.js:249)
[11:41:29.58] [ComponentService] <INFO> 正在注册： vb-form-businesstime.vue文件 (ComponentService.plugin.js:249)
[11:41:29.59] [ComponentService] <INFO> 正在注册： vb-form-businesstimeplugin.vue文件 (ComponentService.plugin.js:249)
[11:41:29.60] [ComponentService] <INFO> 正在注册： vb-form-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:41:29.60] [ComponentService] <INFO> 正在注册： vb-form-chartstyle.vue文件 (ComponentService.plugin.js:249)
[11:41:29.61] [ComponentService] <INFO> 正在注册： vb-form-company.vue文件 (ComponentService.plugin.js:249)
[11:41:29.62] [ComponentService] <INFO> 正在注册： vb-form-conditionoption.vue文件 (ComponentService.plugin.js:249)
[11:41:29.62] [ComponentService] <INFO> 正在注册： vb-form-fencezone.vue文件 (ComponentService.plugin.js:249)
[11:41:29.63] [ComponentService] <INFO> 正在注册： vb-form-holiday.vue文件 (ComponentService.plugin.js:249)
[11:41:29.63] [ComponentService] <INFO> 正在注册： vb-form-indexoption.vue文件 (ComponentService.plugin.js:249)
[11:41:29.64] [ComponentService] <INFO> 正在注册： vb-form-location.vue文件 (ComponentService.plugin.js:249)
[11:41:29.65] [ComponentService] <INFO> 正在注册： vb-form-mall.vue文件 (ComponentService.plugin.js:249)
[11:41:29.65] [ComponentService] <INFO> 正在注册： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:249)
[11:41:29.66] [ComponentService] <INFO> 正在注册： vb-form-reportmenu.vue文件 (ComponentService.plugin.js:249)
[11:41:29.67] [ComponentService] <INFO> 正在注册： vb-form-reportpage.vue文件 (ComponentService.plugin.js:249)
[11:41:29.67] [ComponentService] <INFO> 正在注册： vb-form-tag.vue文件 (ComponentService.plugin.js:249)
[11:41:29.68] [ComponentService] <INFO> 正在注册： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[11:41:29.68] [ComponentService] <INFO> 正在注册： vb-form-weather.vue文件 (ComponentService.plugin.js:249)
[11:41:29.69] [ComponentService] <INFO> 正在注册： vb-grid-activity.vue文件 (ComponentService.plugin.js:249)
[11:41:29.69] [ComponentService] <INFO> 正在注册： vb-grid-businesstime.vue文件 (ComponentService.plugin.js:249)
[11:41:29.70] [ComponentService] <INFO> 正在注册： vb-grid-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:41:29.70] [ComponentService] <INFO> 正在注册： vb-grid-chartstyle.vue文件 (ComponentService.plugin.js:249)
[11:41:29.71] [ComponentService] <INFO> 正在注册： vb-grid-company.vue文件 (ComponentService.plugin.js:249)
[11:41:29.71] [ComponentService] <INFO> 正在注册： vb-grid-conditionoption.vue文件 (ComponentService.plugin.js:249)
[11:41:29.72] [ComponentService] <INFO> 正在注册： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:249)
[11:41:29.73] [ComponentService] <INFO> 正在注册： vb-grid-holiday.vue文件 (ComponentService.plugin.js:249)
[11:41:29.73] [ComponentService] <INFO> 正在注册： vb-grid-indexoption.vue文件 (ComponentService.plugin.js:249)
