[10:05:09.43] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[10:05:09.97] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[10:05:09.98] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[10:05:11.13] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[10:05:12.48] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[10:05:12.49] [IntForce] <LOG> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[10:05:12.53] [ComponentService] <INFO> 正在注册： vx-basic-demo.vue文件 (ComponentService.plugin.js:251)
[10:05:12.54] [ComponentService] <INFO> 正在注册： vd-bd-activity.vue文件 (ComponentService.plugin.js:251)
[10:05:12.54] [ComponentService] <INFO> 正在注册： vd-bd-businesstime.vue文件 (ComponentService.plugin.js:251)
[10:05:12.55] [ComponentService] <INFO> 正在注册： vd-bd-datadetail.vue文件 (ComponentService.plugin.js:251)
[10:05:12.55] [ComponentService] <INFO> 正在注册： vd-bd-holiday.vue文件 (ComponentService.plugin.js:251)
[10:05:12.55] [ComponentService] <INFO> 正在注册： vd-bd-mallupdate.vue文件 (ComponentService.plugin.js:251)
[10:05:12.56] [ComponentService] <INFO> 正在注册： vd-bd-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.56] [ComponentService] <INFO> 正在注册： vd-bd-weather.vue文件 (ComponentService.plugin.js:251)
[10:05:12.57] [ComponentService] <INFO> 正在注册： vd-bd-zoneupdate.vue文件 (ComponentService.plugin.js:251)
[10:05:12.57] [ComponentService] <INFO> 正在注册： vd-rpt-indexoption.vue文件 (ComponentService.plugin.js:251)
[10:05:12.58] [ComponentService] <INFO> 正在注册： vm-form-activity.vue文件 (ComponentService.plugin.js:251)
[10:05:12.58] [ComponentService] <INFO> 正在注册： vm-form-businesstime.vue文件 (ComponentService.plugin.js:251)
[10:05:12.59] [ComponentService] <INFO> 正在注册： vm-form-businesstimeplugin.vue文件 (ComponentService.plugin.js:251)
[10:05:12.59] [ComponentService] <INFO> 正在注册： vm-form-holiday.vue文件 (ComponentService.plugin.js:251)
[10:05:12.60] [ComponentService] <INFO> 正在注册： vm-form-mallupdate.vue文件 (ComponentService.plugin.js:251)
[10:05:12.60] [ComponentService] <INFO> 正在注册： vm-form-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.61] [ComponentService] <INFO> 正在注册： vm-form-weather.vue文件 (ComponentService.plugin.js:251)
[10:05:12.61] [ComponentService] <INFO> 正在注册： vm-form-zoneupdate.vue文件 (ComponentService.plugin.js:251)
[10:05:12.61] [ComponentService] <INFO> 正在注册： vm-grid-activity.vue文件 (ComponentService.plugin.js:251)
[10:05:12.62] [ComponentService] <INFO> 正在注册： vm-grid-businesstime.vue文件 (ComponentService.plugin.js:251)
[10:05:12.62] [ComponentService] <INFO> 正在注册： vm-grid-historicalcount.vue文件 (ComponentService.plugin.js:251)
[10:05:12.63] [ComponentService] <INFO> 正在注册： vm-grid-historicaldwell.vue文件 (ComponentService.plugin.js:251)
[10:05:12.63] [ComponentService] <INFO> 正在注册： vm-grid-historicalfitting.vue文件 (ComponentService.plugin.js:251)
[10:05:12.63] [ComponentService] <INFO> 正在注册： vm-grid-historicalpassby.vue文件 (ComponentService.plugin.js:251)
[10:05:12.64] [ComponentService] <INFO> 正在注册： vm-grid-historicalsummary.vue文件 (ComponentService.plugin.js:251)
[10:05:12.64] [ComponentService] <INFO> 正在注册： vm-grid-holiday.vue文件 (ComponentService.plugin.js:251)
[10:05:12.65] [ComponentService] <INFO> 正在注册： vm-grid-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.65] [ComponentService] <INFO> 正在注册： vm-grid-weather.vue文件 (ComponentService.plugin.js:251)
[10:05:12.65] [ComponentService] <INFO> 正在注册： vm-report-times.vue文件 (ComponentService.plugin.js:251)
[10:05:12.66] [ComponentService] <INFO> 正在注册： vm-select-devicecode.vue文件 (ComponentService.plugin.js:251)
[10:05:12.66] [ComponentService] <INFO> 正在注册： vm-transfer-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.66] [ComponentService] <INFO> 正在注册： vb-cascader-city.vue文件 (ComponentService.plugin.js:251)
[10:05:12.67] [ComponentService] <INFO> 正在注册： vb-form-company.vue文件 (ComponentService.plugin.js:251)
[10:05:12.67] [ComponentService] <INFO> 正在注册： vb-form-companyplugin.vue文件 (ComponentService.plugin.js:251)
[10:05:12.68] [ComponentService] <INFO> 正在注册： vb-form-device.vue文件 (ComponentService.plugin.js:251)
[10:05:12.68] [ComponentService] <INFO> 正在注册： vb-form-devicezone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.69] [ComponentService] <INFO> 正在注册： vb-form-location.vue文件 (ComponentService.plugin.js:251)
[10:05:12.69] [ComponentService] <INFO> 正在注册： vb-form-mall.vue文件 (ComponentService.plugin.js:251)
[10:05:12.70] [ComponentService] <INFO> 正在注册： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.70] [ComponentService] <INFO> 正在注册： vb-form-physicalzoneplugin.vue文件 (ComponentService.plugin.js:251)
[10:05:12.71] [ComponentService] <INFO> 正在注册： vb-form-subsetzone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.71] [ComponentService] <INFO> 正在注册： vb-form-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.71] [ComponentService] <INFO> 正在注册： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:251)
[10:05:12.72] [ComponentService] <INFO> 正在注册： vb-grid-company.vue文件 (ComponentService.plugin.js:251)
[10:05:12.72] [ComponentService] <INFO> 正在注册： vb-grid-device.vue文件 (ComponentService.plugin.js:251)
[10:05:12.73] [ComponentService] <INFO> 正在注册： vb-grid-distribute.vue文件 (ComponentService.plugin.js:251)
[10:05:12.73] [ComponentService] <INFO> 正在注册： vb-grid-duration.vue文件 (ComponentService.plugin.js:251)
[10:05:12.73] [ComponentService] <INFO> 正在注册： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.74] [ComponentService] <INFO> 正在注册： vb-grid-linkeddevicezone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.74] [ComponentService] <INFO> 正在注册： vb-grid-location.vue文件 (ComponentService.plugin.js:251)
[10:05:12.75] [ComponentService] <INFO> 正在注册： vb-grid-mall.vue文件 (ComponentService.plugin.js:251)
[10:05:12.75] [ComponentService] <INFO> 正在注册： vb-grid-physicalzone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.75] [ComponentService] <INFO> 正在注册： vb-grid-shop.vue文件 (ComponentService.plugin.js:251)
[10:05:12.76] [ComponentService] <INFO> 正在注册： vb-grid-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.76] [ComponentService] <INFO> 正在注册： vb-grid-terminal.vue文件 (ComponentService.plugin.js:251)
[10:05:12.77] [ComponentService] <INFO> 正在注册： vb-grid-timesharing.vue文件 (ComponentService.plugin.js:251)
[10:05:12.77] [ComponentService] <INFO> 正在注册： vb-grid-unlinkeddevicezone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.77] [ComponentService] <INFO> 正在注册： vb-page-company.vue文件 (ComponentService.plugin.js:251)
[10:05:12.78] [ComponentService] <INFO> 正在注册： vb-page-mall.vue文件 (ComponentService.plugin.js:251)
[10:05:12.78] [ComponentService] <INFO> 正在注册： vb-page-tag.vue文件 (ComponentService.plugin.js:251)
[10:05:12.78] [ComponentService] <INFO> 正在注册： vb-scope-duration.vue文件 (ComponentService.plugin.js:251)
[10:05:12.79] [ComponentService] <INFO> 正在注册： vb-scope-physicalzone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.79] [ComponentService] <INFO> 正在注册： vb-select-camerazone.vue文件 (ComponentService.plugin.js:251)
[10:05:12.80] [ComponentService] <INFO> 正在注册： vb-select-company.vue文件 (ComponentService.plugin.js:251)
[10:05:12.80] [ComponentService] <INFO> 正在注册： vb-select-device.vue文件 (ComponentService.plugin.js:251)
[10:05:12.80] [ComponentService] <INFO> 正在注册： vb-select-fencezone.vue文件 (ComponentService.plugin.js:251)
