[09:52:31.88] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[09:52:32.57] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[09:52:32.58] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[09:52:33.96] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[09:52:35.67] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[09:52:35.68] [IntForce] <LOG> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[09:52:35.72] [ComponentService] <INFO> 正在注册： vb-cascader-city.vue文件 (ComponentService.plugin.js:249)
[09:52:35.73] [ComponentService] <INFO> 正在注册： vb-form-activity.vue文件 (ComponentService.plugin.js:249)
[09:52:35.74] [ComponentService] <INFO> 正在注册： vb-form-businesstime.vue文件 (ComponentService.plugin.js:249)
[09:52:35.74] [ComponentService] <INFO> 正在注册： vb-form-businesstimeplugin.vue文件 (ComponentService.plugin.js:249)
[09:52:35.76] [ComponentService] <INFO> 正在注册： vb-form-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.77] [ComponentService] <INFO> 正在注册： vb-form-chartstyle.vue文件 (ComponentService.plugin.js:249)
[09:52:35.77] [ComponentService] <INFO> 正在注册： vb-form-company.vue文件 (ComponentService.plugin.js:249)
[09:52:35.78] [ComponentService] <INFO> 正在注册： vb-form-conditionoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.79] [ComponentService] <INFO> 正在注册： vb-form-fencezone.vue文件 (ComponentService.plugin.js:249)
[09:52:35.79] [ComponentService] <INFO> 正在注册： vb-form-holiday.vue文件 (ComponentService.plugin.js:249)
[09:52:35.80] [ComponentService] <INFO> 正在注册： vb-form-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.81] [ComponentService] <INFO> 正在注册： vb-form-location.vue文件 (ComponentService.plugin.js:249)
[09:52:35.81] [ComponentService] <INFO> 正在注册： vb-form-mall.vue文件 (ComponentService.plugin.js:249)
[09:52:35.82] [ComponentService] <INFO> 正在注册： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:249)
[09:52:35.82] [ComponentService] <INFO> 正在注册： vb-form-reportmenu.vue文件 (ComponentService.plugin.js:249)
[09:52:35.83] [ComponentService] <INFO> 正在注册： vb-form-reportpage.vue文件 (ComponentService.plugin.js:249)
[09:52:35.83] [ComponentService] <INFO> 正在注册： vb-form-tag.vue文件 (ComponentService.plugin.js:249)
[09:52:35.83] [ComponentService] <INFO> 正在注册： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[09:52:35.83] [ComponentService] <INFO> 正在注册： vb-form-weather.vue文件 (ComponentService.plugin.js:249)
[09:52:35.84] [ComponentService] <INFO> 正在注册： vb-grid-activity.vue文件 (ComponentService.plugin.js:249)
[09:52:35.84] [ComponentService] <INFO> 正在注册： vb-grid-businesstime.vue文件 (ComponentService.plugin.js:249)
[09:52:35.85] [ComponentService] <INFO> 正在注册： vb-grid-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.85] [ComponentService] <INFO> 正在注册： vb-grid-chartstyle.vue文件 (ComponentService.plugin.js:249)
[09:52:35.86] [ComponentService] <INFO> 正在注册： vb-grid-company.vue文件 (ComponentService.plugin.js:249)
[09:52:35.86] [ComponentService] <INFO> 正在注册： vb-grid-conditionoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.87] [ComponentService] <INFO> 正在注册： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:249)
[09:52:35.87] [ComponentService] <INFO> 正在注册： vb-grid-holiday.vue文件 (ComponentService.plugin.js:249)
[09:52:35.88] [ComponentService] <INFO> 正在注册： vb-grid-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.88] [ComponentService] <INFO> 正在注册： vb-grid-location.vue文件 (ComponentService.plugin.js:249)
[09:52:35.89] [ComponentService] <INFO> 正在注册： vb-grid-mall.vue文件 (ComponentService.plugin.js:249)
[09:52:35.89] [ComponentService] <INFO> 正在注册： vb-grid-physicalzone.vue文件 (ComponentService.plugin.js:249)
[09:52:35.90] [ComponentService] <INFO> 正在注册： vb-grid-reportmenu.vue文件 (ComponentService.plugin.js:249)
[09:52:35.90] [ComponentService] <INFO> 正在注册： vb-grid-reportpage.vue文件 (ComponentService.plugin.js:249)
[09:52:35.91] [ComponentService] <INFO> 正在注册： vb-grid-role.vue文件 (ComponentService.plugin.js:249)
[09:52:35.91] [ComponentService] <INFO> 正在注册： vb-grid-tag.vue文件 (ComponentService.plugin.js:249)
[09:52:35.92] [ComponentService] <INFO> 正在注册： vb-grid-user.vue文件 (ComponentService.plugin.js:249)
[09:52:35.92] [ComponentService] <INFO> 正在注册： vb-grid-weather.vue文件 (ComponentService.plugin.js:249)
[09:52:35.93] [ComponentService] <INFO> 正在注册： vb-log-malllog.vue文件 (ComponentService.plugin.js:249)
[09:52:35.93] [ComponentService] <INFO> 正在注册： vb-log-mallupdate.vue文件 (ComponentService.plugin.js:249)
[09:52:35.94] [ComponentService] <INFO> 正在注册： vb-log-zonelog.vue文件 (ComponentService.plugin.js:249)
[09:52:35.94] [ComponentService] <INFO> 正在注册： vb-log-zoneupdate.vue文件 (ComponentService.plugin.js:249)
[09:52:35.95] [ComponentService] <INFO> 正在注册： vb-page-activity.vue文件 (ComponentService.plugin.js:249)
[09:52:35.95] [ComponentService] <INFO> 正在注册： vb-page-businesstime.vue文件 (ComponentService.plugin.js:249)
[09:52:35.96] [ComponentService] <INFO> 正在注册： vb-page-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.96] [ComponentService] <INFO> 正在注册： vb-page-chartstyle.vue文件 (ComponentService.plugin.js:249)
[09:52:35.97] [ComponentService] <INFO> 正在注册： vb-page-company.vue文件 (ComponentService.plugin.js:249)
[09:52:35.97] [ComponentService] <INFO> 正在注册： vb-page-conditionoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.98] [ComponentService] <INFO> 正在注册： vb-page-holiday.vue文件 (ComponentService.plugin.js:249)
[09:52:35.98] [ComponentService] <INFO> 正在注册： vb-page-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:52:35.99] [ComponentService] <INFO> 正在注册： vb-page-mall.vue文件 (ComponentService.plugin.js:249)
[09:52:35.99] [ComponentService] <INFO> 正在注册： vb-page-reportmenu.vue文件 (ComponentService.plugin.js:249)
[09:52:35.100] [ComponentService] <INFO> 正在注册： vb-page-reportpage.vue文件 (ComponentService.plugin.js:249)
[09:52:36.00] [ComponentService] <INFO> 正在注册： vb-page-tag.vue文件 (ComponentService.plugin.js:249)
[09:52:36.01] [ComponentService] <INFO> 正在注册： vb-page-weather.vue文件 (ComponentService.plugin.js:249)
[09:52:36.01] [ComponentService] <INFO> 正在注册： vb-select-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:52:36.01] [ComponentService] <INFO> 正在注册： vb-select-chartstyle.vue文件 (ComponentService.plugin.js:249)
[09:52:36.02] [ComponentService] <INFO> 正在注册： vb-select-company.vue文件 (ComponentService.plugin.js:249)
[09:52:36.02] [ComponentService] <INFO> 正在注册： vb-select-device.vue文件 (ComponentService.plugin.js:249)
[09:52:36.03] [ComponentService] <INFO> 正在注册： vb-select-fencezone.vue文件 (ComponentService.plugin.js:249)
[09:52:36.03] [ComponentService] <INFO> 正在注册： vb-select-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:52:36.04] [ComponentService] <INFO> 正在注册： vb-select-mall.vue文件 (ComponentService.plugin.js:249)
[09:52:36.04] [ComponentService] <INFO> 正在注册： vb-select-menutype.vue文件 (ComponentService.plugin.js:249)
[09:52:36.05] [ComponentService] <INFO> 正在注册： vb-select-physicalzone.vue文件 (ComponentService.plugin.js:249)
[09:52:36.05] [ComponentService] <INFO> 正在注册： vb-select-reportmenu.vue文件 (ComponentService.plugin.js:249)
[09:52:36.05] [ComponentService] <INFO> 正在注册： vb-select-role.vue文件 (ComponentService.plugin.js:249)
[09:52:36.06] [ComponentService] <INFO> 正在注册： vb-select-usergroup.vue文件 (ComponentService.plugin.js:249)
[09:52:36.06] [ComponentService] <INFO> 正在注册： vb-select-zonetype.vue文件 (ComponentService.plugin.js:249)
[09:52:36.07] [ComponentService] <INFO> 正在注册： vb-transfer-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:52:36.07] [ComponentService] <INFO> 正在注册： vb-transfer-conditionoption.vue文件 (ComponentService.plugin.js:249)
[09:52:36.08] [ComponentService] <INFO> 正在注册： vb-transfer-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:52:36.08] [ComponentService] <INFO> 正在注册： vb-transfer-location.vue文件 (ComponentService.plugin.js:249)
[09:52:36.08] [ComponentService] <INFO> 正在注册： vb-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[09:52:36.09] [ComponentService] <INFO> 正在注册： vb-transfer-physicalzone.vue文件 (ComponentService.plugin.js:249)
[09:52:36.09] [ComponentService] <INFO> 正在注册： vb-transfer-reportpage.vue文件 (ComponentService.plugin.js:249)
[09:52:36.10] [ComponentService] <INFO> 正在注册： vb-transfer-tag.vue文件 (ComponentService.plugin.js:249)
[09:52:36.10] [ComponentService] <INFO> 正在注册： vb-tree-category.vue文件 (ComponentService.plugin.js:249)
[09:52:36.11] [ComponentService] <INFO> 正在注册： vb-tree-location.vue文件 (ComponentService.plugin.js:249)
[09:52:36.11] [ComponentService] <INFO> 正在注册： vb-zonecamera-query.vue文件 (ComponentService.plugin.js:249)
[09:52:36.12] [ComponentService] <INFO> 正在注册： vd-bd-devicezone.vue文件 (ComponentService.plugin.js:249)
[09:52:36.12] [ComponentService] <INFO> 正在注册： vd-bd-fencezone.vue文件 (ComponentService.plugin.js:249)
