[09:27:56.74] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[09:27:57.41] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[09:27:57.42] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[09:27:58.85] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[09:28:01.31] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[09:28:01.33] [IntForce] <LOG> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[09:28:01.43] [ComponentService] <INFO> 正在注册： vx-basic-demo.vue文件 (ComponentService.plugin.js:249)
[09:28:01.44] [ComponentService] <INFO> 正在注册： vd-bd-devicezone.vue文件 (ComponentService.plugin.js:249)
[09:28:01.45] [ComponentService] <INFO> 正在注册： vd-bd-fencezone.vue文件 (ComponentService.plugin.js:249)
[09:28:01.45] [ComponentService] <INFO> 正在注册： vd-bd-grid.vue文件 (ComponentService.plugin.js:249)
[09:28:01.46] [ComponentService] <INFO> 正在注册： vd-bd-loaddata.vue文件 (ComponentService.plugin.js:249)
[09:28:01.47] [ComponentService] <INFO> 正在注册： vd-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:249)
[09:28:01.49] [ComponentService] <INFO> 正在注册： vd-bd-savedata.vue文件 (ComponentService.plugin.js:249)
[09:28:01.49] [ComponentService] <INFO> 正在注册： vb-cascader-city.vue文件 (ComponentService.plugin.js:249)
[09:28:01.51] [ComponentService] <INFO> 正在注册： vb-form-activity.vue文件 (ComponentService.plugin.js:249)
[09:28:01.52] [ComponentService] <INFO> 正在注册： vb-form-businesstime.vue文件 (ComponentService.plugin.js:249)
[09:28:01.53] [ComponentService] <INFO> 正在注册： vb-form-businesstimeplugin.vue文件 (ComponentService.plugin.js:249)
[09:28:01.54] [ComponentService] <INFO> 正在注册： vb-form-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:28:01.55] [ComponentService] <INFO> 正在注册： vb-form-chartstyle.vue文件 (ComponentService.plugin.js:249)
[09:28:01.56] [ComponentService] <INFO> 正在注册： vb-form-company.vue文件 (ComponentService.plugin.js:249)
[09:28:01.58] [ComponentService] <INFO> 正在注册： vb-form-conditionoption.vue文件 (ComponentService.plugin.js:249)
[09:28:01.59] [ComponentService] <INFO> 正在注册： vb-form-fencezone.vue文件 (ComponentService.plugin.js:249)
[09:28:01.59] [ComponentService] <INFO> 正在注册： vb-form-holiday.vue文件 (ComponentService.plugin.js:249)
[09:28:01.60] [ComponentService] <INFO> 正在注册： vb-form-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:28:01.61] [ComponentService] <INFO> 正在注册： vb-form-location.vue文件 (ComponentService.plugin.js:249)
[09:28:01.63] [ComponentService] <INFO> 正在注册： vb-form-mall.vue文件 (ComponentService.plugin.js:249)
[09:28:01.63] [ComponentService] <INFO> 正在注册： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:249)
[09:28:01.64] [ComponentService] <INFO> 正在注册： vb-form-reportmenu.vue文件 (ComponentService.plugin.js:249)
[09:28:01.65] [ComponentService] <INFO> 正在注册： vb-form-reportpage.vue文件 (ComponentService.plugin.js:249)
[09:28:01.66] [ComponentService] <INFO> 正在注册： vb-form-tag.vue文件 (ComponentService.plugin.js:249)
[09:28:01.67] [ComponentService] <INFO> 正在注册： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[09:28:01.67] [ComponentService] <INFO> 正在注册： vb-form-weather.vue文件 (ComponentService.plugin.js:249)
[09:28:01.68] [ComponentService] <INFO> 正在注册： vb-grid-activity.vue文件 (ComponentService.plugin.js:249)
[09:28:01.69] [ComponentService] <INFO> 正在注册： vb-grid-businesstime.vue文件 (ComponentService.plugin.js:249)
[09:28:01.69] [ComponentService] <INFO> 正在注册： vb-grid-chartoption.vue文件 (ComponentService.plugin.js:249)
[09:28:01.70] [ComponentService] <INFO> 正在注册： vb-grid-chartstyle.vue文件 (ComponentService.plugin.js:249)
[09:28:01.73] [ComponentService] <INFO> 正在注册： vb-grid-conditionoption.vue文件 (ComponentService.plugin.js:249)
[09:28:01.74] [ComponentService] <INFO> 正在注册： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:249)
[09:28:01.72] [ComponentService] <INFO> 正在注册： vb-grid-company.vue文件 (ComponentService.plugin.js:249)
[09:28:01.77] [ComponentService] <INFO> 正在注册： vb-grid-holiday.vue文件 (ComponentService.plugin.js:249)
[09:28:01.78] [ComponentService] <INFO> 正在注册： vb-grid-indexoption.vue文件 (ComponentService.plugin.js:249)
[09:28:01.79] [ComponentService] <INFO> 正在注册： vb-grid-location.vue文件 (ComponentService.plugin.js:249)
[09:28:01.80] [ComponentService] <INFO> 正在注册： vb-grid-mall.vue文件 (ComponentService.plugin.js:249)
[09:28:01.81] [ComponentService] <INFO> 正在注册： vb-grid-physicalzone.vue文件 (ComponentService.plugin.js:249)
[09:28:01.84] [ComponentService] <INFO> 正在注册： vb-grid-reportmenu.vue文件 (ComponentService.plugin.js:249)
[09:28:01.85] [ComponentService] <INFO> 正在注册： vb-grid-reportpage.vue文件 (ComponentService.plugin.js:249)
[09:28:01.85] [ComponentService] <INFO> 正在注册： vb-grid-role.vue文件 (ComponentService.plugin.js:249)
[09:28:01.86] [ComponentService] <INFO> 正在注册： vb-grid-tag.vue文件 (ComponentService.plugin.js:249)
[09:28:01.86] [ComponentService] <INFO> 正在注册： vb-grid-user.vue文件 (ComponentService.plugin.js:249)
[09:28:01.87] [ComponentService] <INFO> 正在注册： vb-grid-weather.vue文件 (ComponentService.plugin.js:249)
[09:28:01.90] [ComponentService] <INFO> 正在注册： vb-log-malllog.vue文件 (ComponentService.plugin.js:249)
[09:28:01.91] [ComponentService] <INFO> 正在注册： vb-log-mallupdate.vue文件 (ComponentService.plugin.js:249)
[09:28:01.92] [ComponentService] <INFO> 正在注册： vb-log-zonelog.vue文件 (ComponentService.plugin.js:249)
[09:28:01.92] [ComponentService] <INFO> 正在注册： vb-log-zoneupdate.vue文件 (ComponentService.plugin.js:249)
