[16:28:33.88] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[16:28:34.51] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[16:28:34.51] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[16:28:37.87] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[16:28:37.87] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[16:28:37.88] [IntForce] <INFO> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[16:28:37.90] [ComponentService] <INFO> 正在加载： vx-basic-demo.vue文件 (ComponentService.plugin.js:54)
[16:28:37.96] [ComponentService] <INFO> 正在加载： vb-cascader-city.vue文件 (ComponentService.plugin.js:54)
[16:28:37.96] [ComponentService] <INFO> 正在加载： vb-form-company.vue文件 (ComponentService.plugin.js:54)
[16:28:37.96] [ComponentService] <INFO> 正在加载： vb-form-companyplugin.vue文件 (ComponentService.plugin.js:54)
[16:28:37.97] [ComponentService] <INFO> 正在加载： vb-form-device.vue文件 (ComponentService.plugin.js:54)
[16:28:37.98] [ComponentService] <INFO> 正在加载： vb-form-devicezone.vue文件 (ComponentService.plugin.js:54)
[16:28:37.99] [ComponentService] <INFO> 正在加载： vb-form-location.vue文件 (ComponentService.plugin.js:54)
[16:28:37.99] [ComponentService] <INFO> 正在加载： vb-form-mall.vue文件 (ComponentService.plugin.js:54)
[16:28:38.00] [ComponentService] <INFO> 正在加载： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:54)
[16:28:38.01] [ComponentService] <INFO> 正在加载： vb-form-physicalzoneplugin.vue文件 (ComponentService.plugin.js:54)
[16:28:38.01] [ComponentService] <INFO> 正在加载： vb-form-subsetzone.vue文件 (ComponentService.plugin.js:54)
[16:28:38.02] [ComponentService] <INFO> 正在加载： vb-form-tag.vue文件 (ComponentService.plugin.js:54)
[16:28:38.03] [ComponentService] <INFO> 正在加载： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:54)
[16:28:38.03] [ComponentService] <INFO> 正在加载： vb-grid-company.vue文件 (ComponentService.plugin.js:54)
[16:28:38.04] [ComponentService] <INFO> 正在加载： vb-grid-device.vue文件 (ComponentService.plugin.js:54)
[16:28:38.04] [ComponentService] <INFO> 正在加载： vb-grid-distribute.vue文件 (ComponentService.plugin.js:54)
[16:28:38.05] [ComponentService] <INFO> 正在加载： vb-grid-duration.vue文件 (ComponentService.plugin.js:54)
[16:28:38.05] [ComponentService] <INFO> 正在加载： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:54)
[16:28:38.06] [ComponentService] <INFO> 正在加载： vb-grid-linkeddevicezone.vue文件 (ComponentService.plugin.js:54)
[16:28:38.06] [ComponentService] <INFO> 正在加载： vb-grid-location.vue文件 (ComponentService.plugin.js:54)
[16:28:38.06] [ComponentService] <INFO> 正在加载： vb-grid-mall.vue文件 (ComponentService.plugin.js:54)
[16:28:38.07] [ComponentService] <INFO> 正在加载： vb-grid-physicalzone.vue文件 (ComponentService.plugin.js:54)
[16:28:38.07] [ComponentService] <INFO> 正在加载： vb-grid-shop.vue文件 (ComponentService.plugin.js:54)
[16:28:38.07] [ComponentService] <INFO> 正在加载： vb-grid-tag.vue文件 (ComponentService.plugin.js:54)
[16:28:38.08] [ComponentService] <INFO> 正在加载： vb-grid-terminal.vue文件 (ComponentService.plugin.js:54)
[16:28:38.08] [ComponentService] <INFO> 正在加载： vb-grid-timesharing.vue文件 (ComponentService.plugin.js:54)
