[11:25:09.05] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[11:25:09.88] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[11:25:09.90] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[11:25:11.30] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[11:25:13.25] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[11:25:13.26] [IntForce] <LOG> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[11:25:13.29] [ComponentService] <INFO> 正在注册： vb-cascader-city.vue文件 (ComponentService.plugin.js:249)
[11:25:13.30] [ComponentService] <INFO> 正在注册： vb-form-activity.vue文件 (ComponentService.plugin.js:249)
[11:25:13.30] [ComponentService] <INFO> 正在注册： vb-form-businesstime.vue文件 (ComponentService.plugin.js:249)
[11:25:13.31] [ComponentService] <INFO> 正在注册： vb-form-businesstimeplugin.vue文件 (ComponentService.plugin.js:249)
[11:25:13.32] [ComponentService] <INFO> 正在注册： vb-form-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.33] [ComponentService] <INFO> 正在注册： vb-form-chartstyle.vue文件 (ComponentService.plugin.js:249)
[11:25:13.33] [ComponentService] <INFO> 正在注册： vb-form-company.vue文件 (ComponentService.plugin.js:249)
[11:25:13.34] [ComponentService] <INFO> 正在注册： vb-form-conditionoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.34] [ComponentService] <INFO> 正在注册： vb-form-fencezone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.35] [ComponentService] <INFO> 正在注册： vb-form-holiday.vue文件 (ComponentService.plugin.js:249)
[11:25:13.36] [ComponentService] <INFO> 正在注册： vb-form-indexoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.36] [ComponentService] <INFO> 正在注册： vb-form-location.vue文件 (ComponentService.plugin.js:249)
[11:25:13.37] [ComponentService] <INFO> 正在注册： vb-form-mall.vue文件 (ComponentService.plugin.js:249)
[11:25:13.38] [ComponentService] <INFO> 正在注册： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.38] [ComponentService] <INFO> 正在注册： vb-form-reportmenu.vue文件 (ComponentService.plugin.js:249)
[11:25:13.39] [ComponentService] <INFO> 正在注册： vb-form-reportpage.vue文件 (ComponentService.plugin.js:249)
[11:25:13.39] [ComponentService] <INFO> 正在注册： vb-form-tag.vue文件 (ComponentService.plugin.js:249)
[11:25:13.40] [ComponentService] <INFO> 正在注册： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[11:25:13.41] [ComponentService] <INFO> 正在注册： vb-form-weather.vue文件 (ComponentService.plugin.js:249)
[11:25:13.41] [ComponentService] <INFO> 正在注册： vb-grid-activity.vue文件 (ComponentService.plugin.js:249)
[11:25:13.41] [ComponentService] <INFO> 正在注册： vb-grid-businesstime.vue文件 (ComponentService.plugin.js:249)
[11:25:13.42] [ComponentService] <INFO> 正在注册： vb-grid-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.43] [ComponentService] <INFO> 正在注册： vb-grid-chartstyle.vue文件 (ComponentService.plugin.js:249)
[11:25:13.43] [ComponentService] <INFO> 正在注册： vb-grid-company.vue文件 (ComponentService.plugin.js:249)
[11:25:13.44] [ComponentService] <INFO> 正在注册： vb-grid-conditionoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.44] [ComponentService] <INFO> 正在注册： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.45] [ComponentService] <INFO> 正在注册： vb-grid-holiday.vue文件 (ComponentService.plugin.js:249)
[11:25:13.45] [ComponentService] <INFO> 正在注册： vb-grid-indexoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.46] [ComponentService] <INFO> 正在注册： vb-grid-location.vue文件 (ComponentService.plugin.js:249)
[11:25:13.46] [ComponentService] <INFO> 正在注册： vb-grid-mall.vue文件 (ComponentService.plugin.js:249)
[11:25:13.47] [ComponentService] <INFO> 正在注册： vb-grid-physicalzone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.47] [ComponentService] <INFO> 正在注册： vb-grid-reportmenu.vue文件 (ComponentService.plugin.js:249)
[11:25:13.47] [ComponentService] <INFO> 正在注册： vb-grid-reportpage.vue文件 (ComponentService.plugin.js:249)
[11:25:13.48] [ComponentService] <INFO> 正在注册： vb-grid-role.vue文件 (ComponentService.plugin.js:249)
[11:25:13.48] [ComponentService] <INFO> 正在注册： vb-grid-tag.vue文件 (ComponentService.plugin.js:249)
[11:25:13.49] [ComponentService] <INFO> 正在注册： vb-grid-user.vue文件 (ComponentService.plugin.js:249)
[11:25:13.49] [ComponentService] <INFO> 正在注册： vb-grid-weather.vue文件 (ComponentService.plugin.js:249)
[11:25:13.50] [ComponentService] <INFO> 正在注册： vb-log-malllog.vue文件 (ComponentService.plugin.js:249)
[11:25:13.50] [ComponentService] <INFO> 正在注册： vb-log-mallupdate.vue文件 (ComponentService.plugin.js:249)
[11:25:13.51] [ComponentService] <INFO> 正在注册： vb-log-zonelog.vue文件 (ComponentService.plugin.js:249)
[11:25:13.51] [ComponentService] <INFO> 正在注册： vb-log-zoneupdate.vue文件 (ComponentService.plugin.js:249)
[11:25:13.52] [ComponentService] <INFO> 正在注册： vb-page-activity.vue文件 (ComponentService.plugin.js:249)
[11:25:13.52] [ComponentService] <INFO> 正在注册： vb-page-businesstime.vue文件 (ComponentService.plugin.js:249)
[11:25:13.53] [ComponentService] <INFO> 正在注册： vb-page-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.53] [ComponentService] <INFO> 正在注册： vb-page-chartstyle.vue文件 (ComponentService.plugin.js:249)
[11:25:13.54] [ComponentService] <INFO> 正在注册： vb-page-company.vue文件 (ComponentService.plugin.js:249)
[11:25:13.55] [ComponentService] <INFO> 正在注册： vb-page-conditionoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.55] [ComponentService] <INFO> 正在注册： vb-page-holiday.vue文件 (ComponentService.plugin.js:249)
[11:25:13.56] [ComponentService] <INFO> 正在注册： vb-page-indexoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.56] [ComponentService] <INFO> 正在注册： vb-page-mall.vue文件 (ComponentService.plugin.js:249)
[11:25:13.57] [ComponentService] <INFO> 正在注册： vb-page-reportmenu.vue文件 (ComponentService.plugin.js:249)
[11:25:13.57] [ComponentService] <INFO> 正在注册： vb-page-reportpage.vue文件 (ComponentService.plugin.js:249)
[11:25:13.58] [ComponentService] <INFO> 正在注册： vb-page-tag.vue文件 (ComponentService.plugin.js:249)
[11:25:13.58] [ComponentService] <INFO> 正在注册： vb-page-weather.vue文件 (ComponentService.plugin.js:249)
[11:25:13.59] [ComponentService] <INFO> 正在注册： vb-select-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.60] [ComponentService] <INFO> 正在注册： vb-select-chartstyle.vue文件 (ComponentService.plugin.js:249)
[11:25:13.60] [ComponentService] <INFO> 正在注册： vb-select-company.vue文件 (ComponentService.plugin.js:249)
[11:25:13.60] [ComponentService] <INFO> 正在注册： vb-select-device.vue文件 (ComponentService.plugin.js:249)
[11:25:13.61] [ComponentService] <INFO> 正在注册： vb-select-fencezone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.61] [ComponentService] <INFO> 正在注册： vb-select-indexoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.62] [ComponentService] <INFO> 正在注册： vb-select-mall.vue文件 (ComponentService.plugin.js:249)
[11:25:13.62] [ComponentService] <INFO> 正在注册： vb-select-menutype.vue文件 (ComponentService.plugin.js:249)
[11:25:13.63] [ComponentService] <INFO> 正在注册： vb-select-physicalzone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.63] [ComponentService] <INFO> 正在注册： vb-select-reportmenu.vue文件 (ComponentService.plugin.js:249)
[11:25:13.64] [ComponentService] <INFO> 正在注册： vb-select-role.vue文件 (ComponentService.plugin.js:249)
[11:25:13.64] [ComponentService] <INFO> 正在注册： vb-select-usergroup.vue文件 (ComponentService.plugin.js:249)
[11:25:13.65] [ComponentService] <INFO> 正在注册： vb-select-zonetype.vue文件 (ComponentService.plugin.js:249)
[11:25:13.65] [ComponentService] <INFO> 正在注册： vb-transfer-chartoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.66] [ComponentService] <INFO> 正在注册： vb-transfer-conditionoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.66] [ComponentService] <INFO> 正在注册： vb-transfer-indexoption.vue文件 (ComponentService.plugin.js:249)
[11:25:13.66] [ComponentService] <INFO> 正在注册： vb-transfer-location.vue文件 (ComponentService.plugin.js:249)
[11:25:13.67] [ComponentService] <INFO> 正在注册： vb-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[11:25:13.67] [ComponentService] <INFO> 正在注册： vb-transfer-physicalzone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.68] [ComponentService] <INFO> 正在注册： vb-transfer-reportpage.vue文件 (ComponentService.plugin.js:249)
[11:25:13.68] [ComponentService] <INFO> 正在注册： vb-transfer-tag.vue文件 (ComponentService.plugin.js:249)
[11:25:13.69] [ComponentService] <INFO> 正在注册： vb-tree-category.vue文件 (ComponentService.plugin.js:249)
[11:25:13.69] [ComponentService] <INFO> 正在注册： vb-tree-location.vue文件 (ComponentService.plugin.js:249)
[11:25:13.70] [ComponentService] <INFO> 正在注册： vb-zonecamera-query.vue文件 (ComponentService.plugin.js:249)
[11:25:13.70] [ComponentService] <INFO> 正在注册： vd-bd-devicezone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.71] [ComponentService] <INFO> 正在注册： vd-bd-fencezone.vue文件 (ComponentService.plugin.js:249)
[11:25:13.71] [ComponentService] <INFO> 正在注册： vd-bd-grid.vue文件 (ComponentService.plugin.js:249)
[11:25:13.72] [ComponentService] <INFO> 正在注册： vd-bd-loaddata.vue文件 (ComponentService.plugin.js:249)
[11:25:13.72] [ComponentService] <INFO> 正在注册： vd-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:249)
[11:25:13.73] [ComponentService] <INFO> 正在注册： vd-bd-savedata.vue文件 (ComponentService.plugin.js:249)
[11:25:13.76] [ComponentService] <INFO> 正在注册： vx-basic-demo.vue文件 (ComponentService.plugin.js:249)
[11:25:13.80] [ComponentService] <INFO> 正在注册： vx-basic-button.vue文件 (ComponentService.plugin.js:249)
[11:25:13.80] [ComponentService] <INFO> 正在注册： vx-basic-tree.vue文件 (ComponentService.plugin.js:249)
[11:25:13.81] [ComponentService] <INFO> 正在注册： vx-container-col.vue文件 (ComponentService.plugin.js:249)
[11:25:13.82] [ComponentService] <INFO> 正在注册： vx-container-combo.vue文件 (ComponentService.plugin.js:249)
